START,END,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0:00,2:30,2,3,4,1,0,7,8,5,6,0,0,0,0,0,0,0,1,2,3,4,0,6,7,8,5,0,0,0,0,0,0
2:00,4:30,6,7,8,5,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,4,1,2
4:00,6:30,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,4,1,2,3,8,5,6
6:00,8:30,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,4,1,2,3,8,5,6,7,0,0,0
8:00,10:30,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0
10:00,12:30,5,6,7,8,0,0,0,0,0,0,0,0,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1
12:00,14:30,0,0,0,0,0,0,0,0,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5
14:00,16:30,0,0,0,0,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0
16:00,18:30,4,1,2,3,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0
18:00,20:30,8,5,6,7,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4
20:00,22:30,0,0,0,0,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4,1,6,7,8
22:00,0:30,0,0,0,0,3,4,1,2,7,8,5,6,0,0,0,0,0,0,0,0,2,3,4,1,6,7,8,5,0,0,0
